ticker,quarter_key,period_end,disclosed_date,type_of_doc,roe,roa,operating_margin,equity_ratio,de_ratio,interest_coverage,eps,bps,ev_ebitda
3864.T,2023-Q4,2023-12-31 00:00:00,2024-02-14 00:00:00,3QFinancialStatements_Consolidated_JP,,,1.99,32.41,,,,1616.0,
3864.T,2024-Q1,2024-03-31 00:00:00,2024-05-13 00:00:00,FYFinancialStatements_Consolidated_JP,,,2.8,38.64,,,,2032.88,
3864.T,2024-Q2,2024-06-30 00:00:00,2024-08-06 00:00:00,1QFinancialStatements_Consolidated_JP,,,-0.16,39.02,,,,2029.1,
3864.T,2024-Q3,2024-09-30 00:00:00,2024-11-13 00:00:00,2QFinancialStatements_Consolidated_JP,,,1.06,40.42,,,,2002.26,
3864.T,2024-Q4,2024-12-31 00:00:00,2025-02-14 00:00:00,3QFinancialStatements_Consolidated_JP,,,1.82,40.28,,,,2037.15,
3864.T,2025-Q1,2025-03-31 00:00:00,2025-05-14 00:00:00,FYFinancialStatements_Consolidated_JP,,,2.6,40.96,,,,1906.11,
3864.T,2025-Q2,2025-06-30 00:00:00,2025-08-06 00:00:00,1QFinancialStatements_Consolidated_JP,,,-3.09,41.32,,,,1841.56,
3864.T,2025-Q3,2025-09-30 00:00:00,2025-11-13 00:00:00,2QFinancialStatements_Consolidated_JP,,,0.07,40.82,,,,1848.64,
5333.T,2023-Q4,2023-12-31 00:00:00,2024-01-31 00:00:00,3QFinancialStatements_Consolidated_JP,,,11.91,62.12,,,,2141.58,
5333.T,2024-Q1,2024-03-31 00:00:00,2024-04-26 00:00:00,FYFinancialStatements_Consolidated_JP,,,11.47,62.37,,,,2254.24,
5333.T,2024-Q2,2024-06-30 00:00:00,2024-08-02 00:00:00,1QFinancialStatements_Consolidated_JP,,,11.58,63.34,,,,2331.96,
5333.T,2024-Q2,2024-06-30 00:00:00,2024-07-29 00:00:00,1QFinancialStatements_Consolidated_JP,,,11.58,63.34,,,,2331.96,
5333.T,2024-Q3,2024-09-30 00:00:00,2024-10-31 00:00:00,2QFinancialStatements_Consolidated_JP,,,13.31,63.05,,,,2235.06,
5333.T,2024-Q4,2024-12-31 00:00:00,2025-02-07 00:00:00,3QFinancialStatements_Consolidated_JP,,,13.7,62.9,,,,2434.4,
5333.T,2024-Q4,2024-12-31 00:00:00,2025-01-31 00:00:00,3QFinancialStatements_Consolidated_JP,,,13.7,62.9,,,,2434.4,
5333.T,2025-Q1,2025-03-31 00:00:00,2025-04-28 00:00:00,FYFinancialStatements_Consolidated_JP,,,13.11,63.65,,,,2441.65,
5333.T,2025-Q2,2025-06-30 00:00:00,2025-08-07 00:00:00,1QFinancialStatements_Consolidated_JP,,,14.29,65.03,,,,2482.07,
5333.T,2025-Q2,2025-06-30 00:00:00,2025-07-31 00:00:00,1QFinancialStatements_Consolidated_JP,,,14.29,65.03,,,,2482.07,
5333.T,2025-Q3,2025-09-30 00:00:00,2025-10-31 00:00:00,2QFinancialStatements_Consolidated_JP,,,14.93,64.81,,,,2569.63,
7203.T,2023-Q4,2023-12-31 00:00:00,2024-02-06 00:00:00,3QFinancialStatements_Consolidated_IFRS,,,12.46,39.8,,,,2054.8,
7203.T,2024-Q1,2024-03-31 00:00:00,2024-05-08 00:00:00,FYFinancialStatements_Consolidated_IFRS,,,11.87,39.11,,,,2159.94,
7203.T,2024-Q2,2024-06-30 00:00:00,2024-08-01 00:00:00,1QFinancialStatements_Consolidated_IFRS,,,11.05,39.11,,,,2328.55,
7203.T,2024-Q3,2024-09-30 00:00:00,2024-11-06 00:00:00,2QFinancialStatements_Consolidated_IFRS,,,10.58,39.55,,,,2232.78,
7203.T,2024-Q4,2024-12-31 00:00:00,2025-02-05 00:00:00,3QFinancialStatements_Consolidated_IFRS,,,10.31,38.93,,,,2333.43,
7203.T,2025-Q1,2025-03-31 00:00:00,2025-05-08 00:00:00,FYFinancialStatements_Consolidated_IFRS,,,9.98,39.4,,,,2334.85,
7203.T,2025-Q2,2025-06-30 00:00:00,2025-08-07 00:00:00,1QFinancialStatements_Consolidated_IFRS,,,9.52,39.58,,,,2342.08,
7203.T,2025-Q3,2025-09-30 00:00:00,2025-11-05 00:00:00,2QFinancialStatements_Consolidated_IFRS,,,8.14,39.41,,,,2434.76,
8113.T,2023-Q4,2023-12-31 00:00:00,2024-02-07 00:00:00,FYFinancialStatements_Consolidated_IFRS,,,13.59,69.53,,,,1269.66,
8113.T,2024-Q1,2024-03-31 00:00:00,2024-05-07 00:00:00,1QFinancialStatements_Consolidated_IFRS,,,15.89,70.74,,,,1321.23,
8113.T,2024-Q2,2024-06-30 00:00:00,2024-08-06 00:00:00,2QFinancialStatements_Consolidated_IFRS,,,14.99,69.28,,,,1362.66,
8113.T,2024-Q3,2024-09-30 00:00:00,2024-11-08 00:00:00,3QFinancialStatements_Consolidated_IFRS,,,,70.44,,,,1321.2,
8113.T,2024-Q4,2024-12-31 00:00:00,2025-02-13 00:00:00,FYFinancialStatements_Consolidated_IFRS,,,14.0,70.46,,,,469.11,
8113.T,2025-Q1,2025-03-31 00:00:00,2025-05-09 00:00:00,1QFinancialStatements_Consolidated_IFRS,,,12.75,71.63,,,,456.7,
8113.T,2025-Q2,2025-06-30 00:00:00,2025-08-05 00:00:00,2QFinancialStatements_Consolidated_IFRS,,,12.28,72.4,,,,458.03,
8113.T,2025-Q3,2025-09-30 00:00:00,2025-11-07 00:00:00,3QFinancialStatements_Consolidated_IFRS,,,,73.12,,,,462.9,
8306.T,2023-Q4,2023-12-31 00:00:00,2024-02-05 00:00:00,3QFinancialStatements_Consolidated_JP,,,,5.04,,,,1620.64,
8306.T,2024-Q1,2024-03-31 00:00:00,2024-05-15 00:00:00,FYFinancialStatements_Consolidated_JP,,,,5.14,,,,1681.59,
8306.T,2024-Q2,2024-06-30 00:00:00,2024-08-01 00:00:00,1QFinancialStatements_Consolidated_JP,,,,5.25,,,,1732.14,
8306.T,2024-Q3,2024-09-30 00:00:00,2024-11-14 00:00:00,2QFinancialStatements_Consolidated_JP,,,,5.43,,,,1757.1,
8306.T,2024-Q4,2024-12-31 00:00:00,2025-02-12 00:00:00,3QFinancialStatements_Consolidated_JP,,,,5.23,,,,1791.76,
8306.T,2024-Q4,2024-12-31 00:00:00,2025-02-04 00:00:00,3QFinancialStatements_Consolidated_JP,,,,5.23,,,,1791.76,
8306.T,2025-Q1,2025-03-31 00:00:00,2025-05-15 00:00:00,FYFinancialStatements_Consolidated_JP,,,,5.26,,,,1800.52,
8306.T,2025-Q1,2025-03-31 00:00:00,2025-04-30 00:00:00,EarnForecastRevision,,,,,,,,,
8306.T,2025-Q2,2025-06-30 00:00:00,2025-08-07 00:00:00,1QFinancialStatements_Consolidated_JP,,,,5.3,,,,1761.47,
8306.T,2025-Q2,2025-06-30 00:00:00,2025-08-04 00:00:00,1QFinancialStatements_Consolidated_JP,,,,5.3,,,,1761.47,
8306.T,2025-Q3,2025-09-30 00:00:00,2025-11-14 00:00:00,2QFinancialStatements_Consolidated_JP,,,,5.5,,,,1842.79,
